product_id,category,sub_category,product_name,price,original_price,discount,reviews_count,brand,images,stock,f_assured,seller,seller_rating,return_policy,description,specifications,avg_rating
19,accessories,Bucket Hat,LYZA Les femmes voyagent large bord soleil chapeau de paille en plein air décontractée cravate noeud de plage ,798.21,1849.26,57,91,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/40/88/57418dc6-ad7c-40cf-845d-63e4af266fbd.jpg,"Hurry, Only 4 left!",1,"Stanley, Stanley and Shaw",0.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.45
20,accessories,Bucket Hat,Bob décontracté en coton,890.08,2099.16,58,181,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/71/756154ed-d4d3-4912-b188-82c4abb10edb.jpg,"Hurry, Only 4 left!",1,Palmer PLC,2.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.67
21,accessories,Bucket Hat,Chapeau à Visière Anti-UV pour Protection Solaire,969.46,1938.2,50,923,Socofy-1,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/25/28/8f028966-9155-43e8-88b9-09efea64c25c.JPG,"Hurry, Only 7 left!",0,Howard Ltd,2.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.59
22,accessories,Bucket Hat,Chapeau de paille respirant brodé rose pour femmes,1286.25,2426.97,47,24,Socofy-1,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/13/1C/18b4b106-0e4b-4441-bff4-3073510a07ef.JPG,"Hurry, Only 2 left!",1,Lawson-Stewart,0.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.42
23,accessories,Bucket Hat,Casquettes de seau de parasol respirant ethnique de femmes,1765.47,5448.55,68,26,duni,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AB/5A/8e8d18f6-b88d-40c0-a685-21a524dd73ac.jpeg,"Hurry, Only 1 left!",1,Ford PLC,1.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.25
24,accessories,Ceintures & Bretelles,Ceinture élastique large Vintage,533.61,1257.58,58,59,SUNNYME,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6B/E1/beedabe6-238d-4983-b9ac-b732f1183ebc.png,"Hurry, Only 3 left!",1,Gibson Group,3.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.16
25,accessories,Ceintures & Bretelles,ZENPH 125cm Nylon Ceinture tactique à partir de XIAOMI YOUPIN,1415.61,2670.25,47,4,ZENPH,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/ED/FB/8aa4c614-f3fb-4af1-8cf7-775d400d4aaa.jpg,"Hurry, Only 7 left!",0,Anderson-Smith,2.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.21
26,accessories,Chapeaux & Bonnets,Casquettes plates unisexe 100% coton,1541.29,2098.43,27,39,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B1/95/71ff6c39-ec65-4560-9ddb-d644f847799d.jpg,"Hurry, Only 4 left!",0,"Crawford, Cunningham and Novak",2.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.68
27,accessories,Chapeaux & Bonnets,Chapeau de pêche brodé double face,912.87,2152.08,58,26,NUZADA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A7/17/003c3ec7-b1cc-4524-8b73-6520df7fbf7d.jpg,"Hurry, Only 5 left!",1,Mahoney-Bennett,4.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.2
28,accessories,Chaussettes & Collants,Chaussettes Unisexe Rayées en Coton Multicolorées,851.13,1600.1,47,1701,Socofy-1,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/26/EE/6356b4a1-efce-4ae9-80d7-b42b2b93e870.jpg,"Hurry, Only 1 left!",0,Phelps PLC,1.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.89
29,accessories,Chaussettes & Collants,Femmes À Tricoter Crochet Stripe Jambes Chaussettes Bas De Style De Harajuku Patchwork Bas,343.98,1334.02,74,206,Socofy-1,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/71/55/6f005563-073b-d3e3-e057-1c251c1d17f2.jpg,"Hurry, Only 2 left!",1,Lopez LLC,2.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.06
30,accessories,Foulards & Écharpes,LYZA Femmes Châle Surdimensionné Réversible Polaire Hiver Echarpes Chaudes En Soie Écharpe À Carreaux Cape,999.6,3206.8,69,56,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C9/56/0ef5f847-d17b-4e07-b852-b38ce541ff5c.jpg,"Hurry, Only 3 left!",1,Stanley-Schaefer,2.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.4
31,accessories,Foulards & Écharpes,Foulards d'hiver de serviette d'impression numérique ,897.44,2099.16,57,35,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EF/90/49d89f9b-728e-47c5-9314-29701108977f.jpg,"Hurry, Only 7 left!",1,"Hayden, Kelly and Shannon",2.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.0
32,accessories,Foulards & Écharpes,LYZA Femmes Imprimer Carré Foulards De Mode Anti-UV Foulard Multi-fonction Ceintures De Cheveux Soft Serviette,716.62,1401.64,49,88,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BE/3E/852b19d1-9dde-41d7-94ac-0d94f4e0406e.jpg,"Hurry, Only 7 left!",0,Roy and Sons,0.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.18
33,accessories,Foulards & Écharpes,LYZA 200 cm femmes dames surdimensionné longue écharpe multifonction numérique impression de plage serviette de plage,843.04,1618.47,48,135,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3B/F3/5e3bc4f8-d3cc-4483-85c7-d1ded36cb632.jpeg,"Hurry, Only 4 left!",1,Hernandez and Sons,4.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.58
34,accessories,Foulards & Écharpes,LYZA femmes style folk folk surdimensionné écharpes hiver chaud skin-friendly châle jacquard tissu gland foulard,936.39,1846.32,49,170,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C5/E0/72dbd9ee-89f4-41d0-a7f3-ec7a4227419b.jpg,"Hurry, Only 7 left!",1,Adams-Richardson,1.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.71
35,accessories,Foulards & Écharpes,LYZA Femme Châle Souple à Imprimé Anti-UV Echarpe Décontractée avec Grande Taille Porté pour Plage Extérieur,828.34,1646.4,50,96,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/22/A5/4935472c-47a8-4a5a-ba4b-092ec01ef33e.jpg,"Hurry, Only 4 left!",1,"Smith, Rice and Ochoa",3.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.46
36,accessories,Foulards & Écharpes,LYZA femmes cru dégradé couleur foulards en soie foulards confortables peau-friendly,2509.29,5100.16,51,140,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/45/D0/70d1645e-b431-4012-bbda-10093db8264f.jpg,"Hurry, Only 3 left!",1,Alvarez-Hernandez,1.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.72
37,accessories,Foulards & Écharpes,Écharpe mince d'été d'écharpe en soie artificielle de grande taille,1033.41,2166.78,52,196,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A6/FA/47ed3165-6315-4467-9c56-fa7061d077ac.jpg,"Hurry, Only 2 left!",1,Mcgee-Ferguson,1.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.22
38,accessories,Foulards & Écharpes,LYZA Écharpe en Drap de Laine avec Franfes Longues à Carreaux Cache-col d'hiver Cachemire pour Femme,1317.12,2622.48,50,136,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F8/E7/0dfb8a4c-f914-48f1-b64c-2d1fc202b42d.JPG,"Hurry, Only 3 left!",1,"Strickland, Schultz and Thompson",3.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",0.16
39,accessories,Foulards & Écharpes,LYZA Homme Femme Écharpe Style Britannique à Carreaux Cache-col Souple Double Usage,1838.97,3268.54,44,102,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/90/28/ca424b0d-3e49-499c-9e25-e1fe8eaca358.jpg,"Hurry, Only 4 left!",1,Sandoval-Long,3.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.38
40,accessories,Gants,"Gants anti-coupure de sécurité noirs, gants de travail d&#39;escalade extérieurs respirants",632.83,1146.6,45,75,IPRee,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/59/F4/092742fa-c3fb-45d4-81d5-4d3d22706e27.jpg,"Hurry, Only 6 left!",1,Chan PLC,3.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.28
41,accessories,Gants,LYZA Hommes Femmes Gants En Cuir Véritable Hiver Épais Chaud Vélo Conduite Windproof Mitaines,2054.32,3924.16,48,254,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/7D/5c02d029-c208-4b19-ab00-01d58f887609.jpg,"Hurry, Only 3 left!",1,Bradley-Terry,2.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.8
42,accessories,Gants,LYZA Gants à Cinq Doigts en Laine Chauds Elégants Porté en Automne Hiver de Voyage pour Femme,1554.52,2821.66,45,225,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F8/2D/898d4070-96c2-436e-80dc-a046f746ad7c.jpg,"Hurry, Only 3 left!",1,"Manning, Powell and Molina",1.0,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",3.11
43,accessories,Gants,"LYZA Femmes Colorful Poignets de protection solaire respirants, gants de conduite légers pour conduite légère, à bout ouvert ",676.2,2125.62,68,45,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/01/94/20a00bf5-e4ba-4d37-8644-18597833692b.jpeg,"Hurry, Only 1 left!",1,"Skinner, Adams and Abbott",2.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.11
44,accessories,Lunettes de lecture,Lunettes unisexe anti-buée Splash Lunettes transparentes,1579.52,3243.56,51,23,OBAOLAY,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0E/30/72b2795e-e8eb-4758-ac98-278d982ca663.jpg,"Hurry, Only 1 left!",1,"Lopez, Jones and Cook",3.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.65
45,accessories,Lunettes de lecture,TS Verres bloquant la lumière bleue,2968.66,5600.7,47,16,TS,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/ED/2A/6ef179a1-468e-4998-9900-d37152844e2d.jpg,"Hurry, Only 5 left!",1,"Dominguez, Cowan and Todd",3.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.94
46,accessories,Lunettes de lecture,TS UV400 Lunettes anti-fatigue pour ordinateur Blue Ray ,2667.32,7214.02,63,20,XIAOMI,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/2B/A7/fa5feefb-85d6-4bfc-b036-f23677715806.jpg,"Hurry, Only 7 left!",1,Rivera LLC,3.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.6
47,accessories,Lunettes de soleil,Original XIAOMI Mijia Classic Lunettes de soleil carrées ,1963.92,6928.84,72,37,XIAOMI,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/A2/92/71da0463-a417-462c-850e-38ceb0d976cb.jpg,"Hurry, Only 4 left!",1,Anderson LLC,1.0,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",2.03
48,accessories,Straw Hats,LYZA Chapeau de soleil pour femmes d&#39;été creux large bord plage soleil Visor Voyage Voyage Panama chapeau de paille,834.96,1486.9,44,268,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8C/25/5492286d-8a00-4aad-bfc1-c1cde6edd8dd.jpg,"Hurry, Only 7 left!",1,"White, Gates and Gill",1.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",4.9
49,accessories,Straw Hats,LYZA Chapeau de paille écharpe d&#39;été à larges bords pour femmes bowknot crème solaire bonnet de plage Bohemia,1078.24,2033.01,47,102,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/49/59/a679cc15-799b-420e-9c9b-ff4e40d2a03b.jpg,"Hurry, Only 5 left!",1,"Dawson, Scott and Wright",4.5,10 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.28
50,accessories,Straw Hats,LYZA Femmes Chapeau de paille écran solaire solaire bordeaux élégamment large ,737.94,1739.74,58,58,LYZA,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/07/10/1178fbc7-c319-4ab7-bb74-62266d72b7b0.jpg,"Hurry, Only 4 left!",1,Johnston Group,4.5,7 Days Replacement Policy,"Enhance your style with a diverse range of accessories. From trendy scarves to stylish watches, discover the perfect items to complement your look.","Wide variety of accessories, including scarves, watches, hats, and more. Different materials, colors, and styles for all occasions.",1.84
51,bags,Pochettes,Sac d'embrayage à trois volets d'affaires de grande capacité vintage pour les hommes,1542.76,3306.77,53,107,Baellerry,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FC/93/41a1f92c-915a-480d-9666-9b2a92e1132b.jpg,"Hurry, Only 6 left!",0,"Weber, Mccoy and Marsh",2.5,10 Days Replacement Policy,"Carry your essentials in style with our collection of fashionable bags. From chic handbags to functional backpacks, find the perfect bag for every outing.","Various types of bags, such as handbags, totes, backpacks, and clutches. Durable materials, spacious compartments, and stylish designs.",4.74
